ARL Name,Library URL,Source URL
The University of Alabama Libraries,http://www.lib.ua.edu/,https://www.arl.org/list-of-arl-members/
"University at Albany, SUNY, University Libraries",http://library.albany.edu/,https://www.arl.org/list-of-arl-members/
The University of Arizona Libraries,http://www.library.arizona.edu/,https://www.arl.org/list-of-arl-members/
Arizona State University Library,http://lib.asu.edu/,https://www.arl.org/list-of-arl-members/
Atlanta University Center Robert W. Woodruff Library,https://www.auctr.edu/,https://www.arl.org/list-of-arl-members/
Auburn University Libraries,http://www.lib.auburn.edu/,https://www.arl.org/list-of-arl-members/
Boston College Libraries,https://library.bc.edu/,https://www.arl.org/list-of-arl-members/
Boston Public Library,http://www.bpl.org/,https://www.arl.org/list-of-arl-members/
Boston University Libraries,http://www.bu.edu/library/,https://www.arl.org/list-of-arl-members/
Brigham Young University Library,http://www.lib.byu.edu/,https://www.arl.org/list-of-arl-members/
The University of British Columbia Library,http://www.library.ubc.ca/,https://www.arl.org/list-of-arl-members/
Brown University Library,https://library.brown.edu/,https://www.arl.org/list-of-arl-members/
"University at Buffalo, SUNY, Libraries",http://library.buffalo.edu/,https://www.arl.org/list-of-arl-members/
University of Calgary Libraries and Cultural Resources,http://library.ucalgary.ca/,https://www.arl.org/list-of-arl-members/
UC Berkeley Library,http://www.lib.berkeley.edu/index.html,https://www.arl.org/list-of-arl-members/
UC Davis Library,http://www.lib.ucdavis.edu/,https://www.arl.org/list-of-arl-members/
UC Irvine Libraries,http://www.lib.uci.edu/,https://www.arl.org/list-of-arl-members/
UCLA Library,http://www.library.ucla.edu/,https://www.arl.org/list-of-arl-members/
UC Riverside Library,http://library.ucr.edu/,https://www.arl.org/list-of-arl-members/
UC San Diego Library,http://www.ucsd.edu/libraries/,https://www.arl.org/list-of-arl-members/
UC Santa Barbara Library,http://www.library.ucsb.edu/,https://www.arl.org/list-of-arl-members/
UC Santa Cruz Library,https://library.ucsc.edu/,https://www.arl.org/list-of-arl-members/
Case Western Reserve University Kelvin Smith Library,http://library.case.edu/ksl/index.aspx,https://www.arl.org/list-of-arl-members/
Center for Research Libraries,http://www.crl.edu/,https://www.arl.org/list-of-arl-members/
University of Cincinnati Libraries,http://www.libraries.uc.edu/,https://www.arl.org/list-of-arl-members/
Clemson University Libraries,https://libraries.clemson.edu/,https://www.arl.org/list-of-arl-members/
University of Colorado Boulder Libraries,https://www.colorado.edu/libraries/,https://www.arl.org/list-of-arl-members/
Colorado State University Libraries,http://lib.colostate.edu/,https://www.arl.org/list-of-arl-members/
Columbia University Libraries,http://www.columbia.edu/cu/lweb/,https://www.arl.org/list-of-arl-members/
UConn Library,http://www.lib.uconn.edu/,https://www.arl.org/list-of-arl-members/
Cornell University Library,http://www.library.cornell.edu/,https://www.arl.org/list-of-arl-members/
Dartmouth Libraries,http://library.dartmouth.edu/,https://www.arl.org/list-of-arl-members/
"University of Delaware Library, Museums and Press",http://www.lib.udel.edu/,https://www.arl.org/list-of-arl-members/
