Institution,herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
American University,American U.,200,78.68,77233
Arizona State University Campus Immersion,Arizona State U.,39,95.93,931513
Auburn University,Auburn U.,,,
Baylor College of Medicine,Baylor C. of Medicine,44,95.39,865868
Baylor University,Baylor U.,169,82.0,124771
Binghamton University,"SUNY, Binghamton U.",157,83.29,157574
Boston College,Boston C.,181,80.71,94895
Boston University,Boston U.,50,94.75,739878
Brandeis University,Brandeis U.,178,81.04,101815
Brigham Young University,Brigham Young U.,,,
Brown University,Brown U.,95,89.93,360789
California Institute of Technology,California Institute of Technology,83,91.21,431439
Carnegie Mellon University,Carnegie Mellon U.,73,92.29,492372
Case Western Reserve University,Case Western Reserve U.,60,93.68,569050
Clemson University,Clemson U.,105,88.86,320990
Colorado School of Mines,Colorado School of Mines,176,81.25,107059
Colorado State University-Fort Collins,"Colorado State U., Fort Collins",78,91.75,462347
Columbia University in the City of New York,Columbia U. in the City of New York,22,97.75,1393825
Cornell University,Cornell U.,11,98.93,1598751
CUNY Graduate School and University Center,"CUNY, Graduate Center",195,79.21,79680
Dartmouth College,Dartmouth C.,,,
Drexel University,Drexel U.,153,83.71,166219
Duke University,Duke U.,14,98.61,1539520
East Carolina University,East Carolina U.,208,77.82,71552
Emory University,Emory U.,31,96.79,1143917
Florida Atlantic University,Florida Atlantic U.,190,79.75,83309
Florida International University,Florida International U.,106,88.75,319258
Florida State University,Florida State U.,81,91.43,445173
George Mason University,George Mason U.,117,87.57,277683
George Washington University,George Washington U.,92,90.25,375631
Georgetown University,Georgetown U.,93,90.14,374504
Georgia Institute of Technology-Main Campus,Georgia Institute of Technology,17,98.29,1504665
Georgia State University,Georgia State U.,132,85.96,238996
Harvard University,Harvard U.,21,97.86,1409710
Howard University,Howard U.,180,80.82,95832
Indiana University-Bloomington,"Indiana U., Bloomington",43,95.5,869297
Indiana University-Purdue University-Indianapolis,"Indiana U.-Purdue U., Indianapolis",188,79.96,87906
Iowa State University,Iowa State U.,80,91.54,451379
Johns Hopkins University,Johns Hopkins U. ,1,100.0,4129264
Kansas State University,Kansas State U.,123,86.93,257927
Kent State University at Kent,Kent State U.,225,76.0,59482
Lehigh University,Lehigh U.,220,76.54,61460
Louisiana State University and Agricultural & Mechanical College,Louisiana State U. and A&M C.,,,
Loyola University Chicago,Loyola U. Chicago,,,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,35,96.36,1012404
Medical University of South Carolina,Medical U. South Carolina,107,88.64,314999
Michigan State University,Michigan State U.,40,95.82,906751
Michigan Technological University,Michigan Technological U.,179,80.93,96310
Mississippi State University,Mississippi State U.,104,88.96,325785
Missouri University of Science and Technology,Missouri U. Science and Technology,213,77.29,68674
Montana State University,Montana State U.,,,
New Jersey Institute of Technology,New Jersey Institute of Technology,151,83.93,170205
New Mexico State University-Main Campus,New Mexico State U.,164,82.54,140247
New York University,New York U.,20,97.96,1449535
North Carolina State University at Raleigh,North Carolina State U.,54,94.32,680753
North Dakota State University-Main Campus,North Dakota State U.,142,84.89,198750
Northeastern University,Northeastern U.,101,89.29,344517
Northern Arizona University,Northern Arizona U.,185,80.29,90610
Northwestern University,Northwestern U.,30,96.89,1243115
Nova Southeastern University,Nova Southeastern U.,226,75.89,57749
Ohio State University-Main Campus,Ohio State U.,13,98.71,1580756
Ohio University-Main Campus,Ohio U.,216,76.96,63984
Oklahoma State University-Main Campus,Oklahoma State U.,,,
Old Dominion University,Old Dominion U.,204,78.25,73230
Oregon State University,Oregon State U.,96,89.82,360309
Pennsylvania State University-Main Campus,Pennsylvania State U.,,,
Princeton University,Princeton U.,64,93.25,545214
Purdue University-Main Campus,Purdue U.,,,
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,166,82.32,137462
Rice University,Rice U.,119,87.36,275885
Rutgers University-New Brunswick,"Rutgers, State U. New Jersey, New Brunswick",47,95.07,789271
Saint Louis University,Saint Louis U.,182,80.61,94609
San Diego State University,San Diego State U.,149,84.14,171741
Southern Illinois University-Carbondale,"Southern Illinois U., Carbondale",222,76.32,61453
Southern Methodist University,Southern Methodist U.,219,76.64,62063
Stanford University,Stanford U.,10,99.04,1613631
Stony Brook University,"SUNY, Stony Brook U.",108,88.54,312791
Syracuse University,Syracuse U.,144,84.68,194131
Temple University,Temple U.,109,88.43,308240
Texas A&M University-College Station,Texas A&M U.,,,
Texas Tech University,Texas Tech U.,126,86.61,253770
The Catholic University of America,"Catholic U. America, The",229,75.57,55630
The University of Alabama,U. Alabama,,,
The University of Montana,"U. Montana, Missoula",163,82.64,140413
The University of Tennessee Health Science Center,"U. Tennessee, Health Science Center",171,81.79,120672
The University of Tennessee-Knoxville,"U. Tennessee, Knoxville",91,90.36,376600
The University of Texas at Arlington,"U. Texas, Arlington",161,82.86,143810
The University of Texas at Austin,"U. Texas, The, Austin",33,96.57,1065554
The University of Texas at Dallas,"U. Texas, Dallas",148,84.25,174785
The University of Texas at El Paso,"U. Texas, El Paso",159,83.07,153780
