carnegie_name,herd_name
Auburn University,Auburn U.
Boston College,Boston C.
Brigham Young University,Brigham Young U., Provo
Dartmouth College,Dartmouth C.
Louisiana State University and Agricultural & Mechanical College,Louisiana State U. and A&M C.
Montana State University,Montana State U.
Oklahoma State University-Main Campus,Oklahoma State U.
Pennsylvania State University-Main Campus,Pennsylvania State U., University Park
Purdue University-Main Campus,Purdue U., West Lafayette
Texas A&M University-College Station,Texas A&M U., College Station
The University of Alabama,U. Alabama
University of Cincinnati-Main Campus,U. Cincinnati
University of New Hampshire-Main Campus,U. New Hampshire
University of Oklahoma-Norman Campus,U. Oklahoma, Norman
University of Virginia-Main Campus,U. Virginia, Charlottesville
Vanderbilt University,Vanderbilt U. and Vanderbilt U. Medical Center
Washington University in St Louis,Washington U. in St. Louis
Weill Medical College of Cornell University,Cornell U., Weill Medical College
Loyola University Chicago,Loyola U. Chicago
University of Chicago,U. Chicago
University of Maryland-College Park,U. Maryland
University of Nebraska-Lincoln,"U. Nebraska, Lincoln and Medical Center"
University of Nebraska Medical Center,"U. Nebraska, Lincoln and Medical Center"
