herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
Johns Hopkins U. ,1,100.0,4129264
[1],2,99.89,2167504
U. Pennsylvania,3,99.79,2127637
"U. California, San Francisco",4,99.68,2110961
"U. Michigan, Ann Arbor",5,99.57,1933229
U. Wisconsin-Madison,6,99.46,1896227
"U. California, Los Angeles",7,99.36,1881289
"U. California, San Diego",8,99.25,1691302
"U. Washington, Seattle",9,99.14,1641961
Stanford U.,10,99.04,1613631
Cornell U.,11,98.93,1598751
"U. North Carolina, The, Chapel Hill",12,98.82,1581570
Ohio State U.,13,98.71,1580756
Duke U.,14,98.61,1539520
U. Maryland ,15,98.5,1528637
[2],16,98.39,1519694
Georgia Institute of Technology,17,98.29,1504665
Yale U.,18,98.18,1500732
"U. Pittsburgh, Pittsburgh",19,98.07,1494527
New York U.,20,97.96,1449535
Harvard U.,21,97.86,1409710
Columbia U. in the City of New York,22,97.75,1393825
"U. Minnesota, Twin Cities",23,97.64,1363321
"Texas A&M U., College Station and Health Science Center",24,97.54,1327870
U. Texas M. D. Anderson Cancer Center,25,97.43,1302971
Vanderbilt U. and Vanderbilt U. Medical Center,26,97.32,1272493
"Pennsylvania State U., The, University Park and Hershey Medical Center",27,97.21,1264197
U. Florida,28,97.11,1257859
U. Southern California,29,97.0,1246507
Northwestern U.,30,96.89,1243115
Emory U.,31,96.79,1143917
"Washington U., Saint Louis",32,96.68,1126782
"U. Texas, The, Austin",33,96.57,1065554
"U. California, Berkeley",34,96.46,1015600
Massachusetts Institute of Technology,35,96.36,1012404
Icahn School of Medicine at Mount Sinai,36,96.25,1005757
U. Arizona,37,96.14,1003271
"U. California, Davis",38,96.04,931848
Arizona State U.,39,95.93,931513
Michigan State U.,40,95.82,906751
"Purdue U., West Lafayette",41,95.71,896983
"U. Illinois, Urbana-Champaign",42,95.61,881226
"Indiana U., Bloomington",43,95.5,869297
Baylor C. of Medicine,44,95.39,865868
U. Texas Southwestern Medical Center,45,95.29,836800
"U. Alabama, Birmingham",46,95.18,813772
"Rutgers, State U. New Jersey, New Brunswick",47,95.07,789271
"U. Virginia, Charlottesville",48,94.96,784355
U. Utah,49,94.86,741643
Boston U.,50,94.75,739878
U. Colorado Anschutz Medical Campus,51,94.64,717920
U. Cincinnati,52,94.54,717004
U. Colorado Boulder,53,94.43,703326
North Carolina State U.,54,94.32,680753
U. Iowa,55,94.21,657468
U. Chicago,56,94.11,656916
"U. Nebraska, Lincoln and Medical Center",57,94.0,644948
Virginia Polytechnic Institute and State U.,58,93.89,642546
"U. California, Irvine",59,93.79,628117
Case Western Reserve U.,60,93.68,569050
U. Georgia,61,93.57,559013
Uniformed Services U. of the Health Sciences,62,93.46,558624
U. Miami,63,93.36,546110
Princeton U.,64,93.25,545214
U. Kansas,65,93.14,541880
Oregon Health and Science U.,66,93.04,532181
"SUNY, U. Buffalo",67,92.93,527658
"U. Illinois, Chicago",68,92.82,524295
U. Kentucky,69,92.71,521892
Virginia Commonwealth U.,70,92.61,508580
U. South Florida,71,92.5,505262
"U. Missouri, Columbia",72,92.39,501468
Carnegie Mellon U.,73,92.29,492372
Scripps Research Institute,74,92.18,474043
U. Rochester,75,92.07,471605
U. Oklahoma,76,91.96,466386
"SUNY, U. Albany",77,91.86,465780
"Colorado State U., Fort Collins",78,91.75,462347
U. Delaware,79,91.64,460733
Iowa State U.,80,91.54,451379
Florida State U.,81,91.43,445173
Utah State U.,82,91.32,433545
California Institute of Technology,83,91.21,431439
U. Connecticut,84,91.11,419123
"Louisiana State U., Baton Rouge",85,91.0,418429
"U. Texas Health Science Center, Houston",86,90.89,403369
Dartmouth C. and Dartmouth Hitchcock Medical Center,87,90.79,393557
Washington State U.,88,90.68,392333
"Auburn U., Auburn",89,90.57,386949
Wichita State U.,90,90.46,381582
"U. Tennessee, Knoxville",91,90.36,376600
George Washington U.,92,90.25,375631
Georgetown U.,93,90.14,374504
"U. Hawaii, Manoa",94,90.04,371904
Brown U.,95,89.93,360789
Oregon State U.,96,89.82,360309
Albert Einstein C. of Medicine,97,89.71,354874
Medical C. Wisconsin,98,89.61,349616
U. New Mexico,99,89.5,346900
"U. Massachusetts, Medical School",100,89.39,345791
Northeastern U.,101,89.29,344517
